ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10514358,HZ256298,05/07/2016 10:30:00 PM,048XX W CORTLAND ST,0820,THEFT,$500 AND UNDER,STREET,False,False,2533,25.0,31.0,19.0,06,1143562.0,1912189.0,2016,02/10/2018 03:50:01 PM,41.915080933,-87.74800265100001,"(41.915080933, -87.748002651)"
5405635,HN245911,03/24/2007 03:25:00 AM,034XX N LOCKWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1634,16.0,38.0,15.0,14,1140419.0,1922515.0,2007,02/28/2018 03:56:25 PM,41.943474835,-87.759295844,"(41.943474835, -87.759295844)"
8113016,HT347857,06/15/2011 01:25:00 AM,122XX S LOOMIS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,524,5.0,34.0,53.0,08B,1169215.0,1823620.0,2011,02/10/2018 03:50:01 PM,41.671518322,-87.65631899600001,"(41.671518322, -87.656318996)"
11185073,JA559195,12/12/2017 02:22:00 PM,055XX W WRIGHTWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2514,25.0,30.0,19.0,26,1138847.0,1916733.0,2017,02/10/2018 03:50:01 PM,41.927637168000004,-87.76521467200001,"(41.927637168, -87.765214672)"
5051285,HM657183,10/13/2006 08:45:00 AM,005XX N LAKE SHORE DR,0810,THEFT,OVER $500,STREET,False,False,1834,18.0,42.0,8.0,06,1179988.0,1904107.0,2006,02/28/2018 03:56:25 PM,41.892143456999996,-87.614427382,"(41.892143457, -87.614427382)"
9202580,HW347818,07/04/2013 12:20:00 PM,014XX S HOMAN AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,True,False,1021,10.0,24.0,29.0,26,1153932.0,1892915.0,2013,02/10/2018 03:50:01 PM,41.861990637,-87.71041821799999,"(41.861990637, -87.710418218)"
6441961,HP523041,08/19/2008 05:30:00 PM,017XX W WEBSTER AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1432,14.0,32.0,22.0,06,1164299.0,1914678.0,2008,02/28/2018 03:56:25 PM,41.921497276,-87.67174659700001,"(41.921497276, -87.671746597)"
10269388,HY457006,10/10/2015 04:30:00 PM,021XX W LE MOYNE ST,0810,THEFT,OVER $500,STREET,False,False,1424,14.0,32.0,24.0,06,1161966.0,1909815.0,2015,02/10/2018 03:50:01 PM,41.908201931,-87.68045463899999,"(41.908201931, -87.680454639)"
5572213,HN379337,06/01/2007 10:09:09 PM,001XX S LOCKWOOD AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,1522,15.0,29.0,25.0,18,1141025.0,1899066.0,2007,02/10/2018 03:50:01 PM,41.879116997,-87.75764693200001,"(41.879116997, -87.757646932)"
8639602,HV314145,06/01/2012 05:20:00 PM,039XX S CALIFORNIA AVE,0460,BATTERY,SIMPLE,POLICE FACILITY/VEH PARKING LOT,True,False,921,9.0,14.0,58.0,08B,1158335.0,1878579.0,2012,02/04/2016 06:33:39 AM,41.822562231,-87.694646782,"(41.822562231, -87.694646782)"
1505502,G249734,05/01/2001 03:00:00 PM,032XX S HALSTED ST,0820,THEFT,$500 AND UNDER,OTHER,False,False,924,9.0,,,06,1171456.0,1883452.0,2001,08/17/2015 03:03:40 PM,41.835656461,-87.64636846,"(41.835656461, -87.64636846)"
6986470,HR391223,06/20/2009 09:30:00 PM,079XX S EVANS AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,624,6.0,6.0,44.0,03,1182600.0,1852623.0,2009,02/10/2018 03:50:01 PM,41.750807191999996,-87.606434385,"(41.750807192, -87.606434385)"
3189690,HK198157,02/21/2004 05:00:00 PM,068XX S DORCHESTER AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,321,3.0,5.0,43.0,06,1186717.0,1859996.0,2004,02/28/2018 03:56:25 PM,41.770942948000005,-87.59111478700001,"(41.770942948, -87.591114787)"
10735837,HZ495625,10/30/2016 02:46:00 PM,006XX N KINGSBURY ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GROCERY FOOD STORE,False,False,1831,18.0,42.0,8.0,11,1172650.0,1904491.0,2016,02/10/2018 03:50:01 PM,41.893362725,-87.641365059,"(41.893362725, -87.641365059)"
10831673,JA133408,01/28/2017 02:00:00 PM,011XX S RICHMOND ST,0810,THEFT,OVER $500,RESIDENCE,False,True,1135,11.0,28.0,29.0,06,1156862.0,1895033.0,2017,02/14/2017 03:49:42 PM,41.867743811,-87.699605209,"(41.867743811, -87.699605209)"
9736247,HX386353,08/13/2014 04:30:00 PM,028XX E 77TH ST,0820,THEFT,$500 AND UNDER,STREET,False,False,421,4.0,7.0,43.0,06,1196103.0,1854444.0,2014,02/10/2018 03:50:01 PM,41.755480451,-87.55689357,"(41.755480451, -87.55689357)"
6984447,HR389768,06/22/2009 11:20:00 PM,083XX S BALTIMORE AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,423,4.0,10.0,46.0,08B,1196973.0,1850098.0,2009,02/28/2018 03:56:25 PM,41.743533115,-87.55384959700001,"(41.743533115, -87.553849597)"
10434598,HZ172284,02/04/2016 10:00:00 AM,035XX N BOSWORTH AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,False,False,1922,19.0,44.0,6.0,11,1165354.0,1923559.0,2016,02/10/2018 03:50:01 PM,41.945844825,-87.66761689299999,"(41.945844825, -87.667616893)"
2166421,HH419301,05/23/2002 05:00:00 PM,050XX W FERDINAND ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1532,15.0,28.0,25.0,26,1142471.0,1902801.0,2002,02/28/2018 03:56:25 PM,41.889339555,-87.752244539,"(41.889339555, -87.752244539)"
4437701,HL734330,11/12/2005 06:00:00 PM,022XX W EASTWOOD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1911,19.0,47.0,4.0,14,1160406.0,1930834.0,2005,02/28/2018 03:56:25 PM,41.96591183,-87.685601891,"(41.96591183, -87.685601891)"
7337549,HS140244,01/27/2010 07:00:00 PM,047XX W SCHOOL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1731,17.0,30.0,15.0,08B,1144099.0,1921517.0,2010,02/10/2018 03:50:01 PM,41.940667809000004,-87.745794922,"(41.940667809, -87.745794922)"
2360708,HH665015,09/22/2002 03:00:00 AM,004XX W 70TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,732,7.0,6.0,68.0,07,1174650.0,1858515.0,2002,02/28/2018 03:56:25 PM,41.767156163,-87.63539168,"(41.767156163, -87.63539168)"
1463488,G188470,04/03/2001 12:25:00 PM,054XX N KENMORE AV,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,True,False,2023,20.0,,,26,1168310.0,1936238.0,2001,08/17/2015 03:03:40 PM,41.980572921,-87.656383531,"(41.980572921, -87.656383531)"
5656801,HN455407,07/09/2007 12:30:00 PM,060XX S ADA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,713,7.0,16.0,67.0,14,1168359.0,1864786.0,2007,02/10/2018 03:50:01 PM,41.784502339,-87.658270344,"(41.784502339, -87.658270344)"
8751817,HV427187,08/11/2012 11:00:00 PM,010XX W ARGYLE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2024,20.0,46.0,3.0,07,1168606.0,1933592.0,2012,02/04/2016 06:33:39 AM,41.973305801,-87.655371968,"(41.973305801, -87.655371968)"
3076230,HJ798694,12/04/2003 10:45:00 PM,029XX S DEARBORN ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,True,False,2113,1.0,3.0,35.0,26,1176241.0,1885750.0,2003,02/28/2018 03:56:25 PM,41.841855999,-87.628741678,"(41.841855999, -87.628741678)"
6334572,HP423012,06/29/2008 10:30:00 AM,001XX N CENTRAL AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,1523,15.0,29.0,25.0,26,1139023.0,1900559.0,2008,02/28/2018 03:56:25 PM,41.883250597,-87.76496172899999,"(41.883250597, -87.764961729)"
7784625,HS591975,10/15/2010 06:00:00 AM,047XX W OHIO ST,0610,BURGLARY,FORCIBLE ENTRY,ABANDONED BUILDING,False,False,1111,11.0,28.0,25.0,05,1144581.0,1903566.0,2010,02/04/2016 06:33:39 AM,41.891399332,-87.744476381,"(41.891399332, -87.744476381)"
7661039,HS466305,08/16/2010 10:17:00 PM,052XX S BLACKSTONE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,2131,2.0,4.0,41.0,26,1186800.0,1870814.0,2010,02/10/2018 03:50:01 PM,41.80062644,-87.59046793200001,"(41.80062644, -87.590467932)"
6638629,HP711859,12/01/2008 07:22:00 PM,085XX S MACKINAW AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,APARTMENT,True,False,424,4.0,10.0,46.0,18,1199951.0,1849035.0,2008,02/28/2018 03:56:25 PM,41.740541626,-87.542974038,"(41.740541626, -87.542974038)"
8812290,HV485298,09/20/2012 12:00:00 AM,0000X S KOSTNER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,1113,11.0,28.0,26.0,07,1147063.0,1899527.0,2012,02/10/2018 03:50:01 PM,41.880268755,-87.735464417,"(41.880268755, -87.735464417)"
10988962,JA315798,06/16/2017 10:00:00 AM,038XX W HIRSCH ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,False,False,2535,25.0,30.0,23.0,06,1150328.0,1909039.0,2017,02/10/2018 03:50:01 PM,41.906307629000004,-87.723227237,"(41.906307629, -87.723227237)"
2627835,HJ233052,03/12/2003 11:00:00 AM,003XX S WACKER DR,0820,THEFT,$500 AND UNDER,STREET,False,False,111,1.0,2.0,32.0,06,1173916.0,1898816.0,2003,02/28/2018 03:56:25 PM,41.877762073,-87.63688469,"(41.877762073, -87.63688469)"
6539025,HP605566,10/02/2008 04:15:00 PM,032XX N HALSTED ST,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,False,False,2332,19.0,44.0,6.0,06,1170355.0,1921706.0,2008,02/10/2018 03:50:01 PM,41.940652065,-87.64928942200001,"(41.940652065, -87.649289422)"
1787396,G610351,10/11/2001 02:00:00 AM,0000X E HUBBARD ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1834,18.0,,,06,1176315.0,1903279.0,2001,08/17/2015 03:03:40 PM,41.889955037,-87.627941568,"(41.889955037, -87.627941568)"
2228417,HH493143,07/07/2002 11:45:00 AM,064XX S WOOD ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,725,7.0,15.0,67.0,05,1165445.0,1862051.0,2002,02/28/2018 03:56:25 PM,41.777059431,-87.669031727,"(41.777059431, -87.669031727)"
10987368,JA313966,06/19/2017 11:00:00 AM,016XX N MOBILE AVE,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,RESIDENCE,False,False,2513,25.0,29.0,25.0,26,1133951.0,1910163.0,2017,02/10/2018 03:50:01 PM,41.909695904,-87.78336068200001,"(41.909695904, -87.783360682)"
3647698,HK740405,11/09/2004 12:40:49 PM,110XX S VERNON AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,True,False,513,5.0,9.0,49.0,04B,1181204.0,1831866.0,2004,02/28/2018 03:56:25 PM,41.693879672,-87.61218712899999,"(41.693879672, -87.612187129)"
4821401,HM431985,06/23/2006 09:57:38 AM,072XX S UNION AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,True,True,732,7.0,17.0,68.0,08B,1173000.0,1856957.0,2006,02/28/2018 03:56:25 PM,41.762917405,-87.641485525,"(41.762917405, -87.641485525)"
10216283,HY402845,08/30/2015 12:45:00 AM,050XX S WASHINGTON PARK CT,1330,CRIMINAL TRESPASS,TO LAND,APARTMENT,True,False,223,2.0,3.0,38.0,26,1180109.0,1871507.0,2015,02/10/2018 03:50:01 PM,41.802684153,-87.61498448200001,"(41.802684153, -87.614984482)"
