ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
3479834,HK552420,08/12/2004 12:00:00 AM,105XX S INDIANAPOLIS AVE,0810,THEFT,OVER $500,CONSTRUCTION SITE,False,False,432,4.0,10.0,52.0,06,1204716.0,1835791.0,2004,02/28/2018 03:56:25 PM,41.70407777,-87.525971128,"(41.70407777, -87.525971128)"
8701246,HV377524,07/11/2012 01:15:00 PM,064XX S WOLCOTT AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,726,7.0,15.0,67.0,18,1164788.0,1862061.0,2012,02/04/2016 06:33:39 AM,41.777100774000004,-87.671439999,"(41.777100774, -87.671439999)"
11473873,JB471566,10/11/2018 03:15:00 PM,0000X N STATE ST,0560,ASSAULT,SIMPLE,DRUG STORE,False,False,112,1.0,42.0,32.0,08A,1176365.0,1900502.0,2018,10/18/2018 04:27:18 PM,41.88233367,-87.62784179100001,"(41.88233367, -87.627841791)"
4636116,HM233432,03/14/2006 07:00:00 PM,031XX S LAWNDALE AVE,0498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,False,True,1032,10.0,22.0,30.0,04B,1152204.0,1883512.0,2006,02/28/2018 03:56:25 PM,41.836221891,-87.717009206,"(41.836221891, -87.717009206)"
3430477,HK496014,07/14/2004 08:00:00 PM,063XX S CALUMET AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),False,False,312,3.0,20.0,69.0,04A,1179552.0,1862775.0,2004,02/28/2018 03:56:25 PM,41.778735481,-87.617293946,"(41.778735481, -87.617293946)"
5467314,HN290007,04/17/2007 03:00:00 PM,030XX W 26TH ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,1033,10.0,12.0,30.0,06,1156348.0,1886588.0,2007,02/28/2018 03:56:25 PM,41.844580198,-87.701720259,"(41.844580198, -87.701720259)"
4122446,HL457719,07/02/2005 08:26:42 AM,051XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,1533,15.0,28.0,25.0,08B,1142316.0,1899543.0,2005,02/28/2018 03:56:25 PM,41.880402083,-87.75289469799999,"(41.880402083, -87.752894698)"
11099453,JA445715,09/22/2017 12:30:00 PM,019XX N Halsted St,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,1813,18.0,43.0,7.0,06,1170654.0,1912967.0,2017,02/10/2018 03:50:01 PM,41.916665295,-87.64844705700001,"(41.916665295, -87.648447057)"
10674008,HZ425959,08/22/2016 12:00:00 AM,099XX S MALTA ST,1110,DECEPTIVE PRACTICE,BOGUS CHECK,APARTMENT,False,False,2213,22.0,19.0,72.0,11,1168149.0,1838719.0,2016,02/10/2018 03:50:01 PM,41.7129754,-87.65978842700001,"(41.7129754, -87.659788427)"
2361250,HH661113,09/20/2002 04:20:40 PM,0000X S LEAVITT ST,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,1211,12.0,2.0,28.0,14,1161751.0,1899815.0,2002,02/28/2018 03:56:25 PM,41.88076561,-87.68152351200001,"(41.88076561, -87.681523512)"
